MetWatch weather data export,,,,,,,
Station ID,Start Date,Stop Date,Radiation Mean,Relative Humidity Mean,Rain Total,Temperature Dry Bulb Mean,Wind Speed Mean
KER,31/12/2013 23:00,1/01/2014 0:00,0,79.7,0,15.4,0.4
KER,1/01/2014 0:00,1/01/2014 1:00,-0.1,81.5,0,15.6,0.2
KER,1/01/2014 1:00,1/01/2014 2:00,0,83.8,0,15.8,0.2
KER,1/01/2014 2:00,1/01/2014 3:00,0.1,84.4,0,15.9,0.3
KER,1/01/2014 3:00,1/01/2014 4:00,0,90,0,15.3,0.2
KER,1/01/2014 4:00,1/01/2014 5:00,0,90.2,0,15.3,0.1
KER,1/01/2014 5:00,1/01/2014 6:00,20.4,91.6,0,14.5,0.6
KER,1/01/2014 6:00,1/01/2014 7:00,106.6,90.2,0,15.9,0.3
KER,1/01/2014 7:00,1/01/2014 8:00,124.1,81.8,0.6,17.5,0.9
KER,1/01/2014 8:00,1/01/2014 9:00,129.10001,90.2,6.6,17,0.8
KER,1/01/2014 9:00,1/01/2014 10:00,376,93.3,0.6,18,0.6
KER,1/01/2014 10:00,1/01/2014 11:00,441.89999,86.6,0,20.5,0.9
KER,1/01/2014 11:00,1/01/2014 12:00,409.79999,83.7,0.8,21.2,1.7
KER,1/01/2014 12:00,1/01/2014 13:00,697,87.7,1.8,21.3,1.6
KER,1/01/2014 13:00,1/01/2014 14:00,654,82,0.4,22.6,1.7
KER,1/01/2014 14:00,1/01/2014 15:00,814,79,0,23.4,2.3
KER,1/01/2014 15:00,1/01/2014 16:00,805,72.1,0,24.2,2.7
KER,1/01/2014 16:00,1/01/2014 17:00,456.10001,73.7,0,23.4,2.5
KER,1/01/2014 17:00,1/01/2014 18:00,298.10001,75.5,0,22.7,1.9
KER,1/01/2014 18:00,1/01/2014 19:00,94.5,71.3,0,21.8,1.5
KER,1/01/2014 19:00,1/01/2014 20:00,19.6,76.5,0,20.2,0.9
KER,1/01/2014 20:00,1/01/2014 21:00,-0.1,84.5,0,18.3,0.5
KER,1/01/2014 21:00,1/01/2014 22:00,-0.2,90.4,0,17,0.8
KER,1/01/2014 22:00,1/01/2014 23:00,-0.2,93.1,0,16.3,0.9
KER,1/01/2014 23:00,2/01/2014 0:00,0.2,95.1,0,15.6,0.8
KER,2/01/2014 0:00,2/01/2014 1:00,0.3,96.1,0,15,0.8
KER,2/01/2014 1:00,2/01/2014 2:00,-0.1,96.8,0,14.4,0.6
KER,2/01/2014 2:00,2/01/2014 3:00,0,97.2,0,13.8,0.3
KER,2/01/2014 3:00,2/01/2014 4:00,-0.1,97.5,0,13.1,0.3
KER,2/01/2014 4:00,2/01/2014 5:00,-0.2,97.9,0,12.7,0.2
KER,2/01/2014 5:00,2/01/2014 6:00,19.8,98.1,0,12.2,0.4
KER,2/01/2014 6:00,2/01/2014 7:00,174.60001,98.6,0,14.3,0.5
KER,2/01/2014 7:00,2/01/2014 8:00,382.29999,91.9,0,17.5,0.8
KER,2/01/2014 8:00,2/01/2014 9:00,608.09998,74.2,0,20.1,1.1
KER,2/01/2014 9:00,2/01/2014 10:00,831,66,0,21.6,1.1
KER,2/01/2014 10:00,2/01/2014 11:00,1019,63.7,0,22.8,2.4
KER,2/01/2014 11:00,2/01/2014 12:00,1064,63,0,22.4,3.1
KER,2/01/2014 12:00,2/01/2014 13:00,1101,62.6,0,22.3,3.3
KER,2/01/2014 13:00,2/01/2014 14:00,1082,65.6,0,22.5,3.5
