Temp(C),Portions
13.4,0
12.9,0
13,0
13.5,0
13.3,0
13.7,0
13.7,0
14.8,0
17.4,0
19.6,0
21.5,0
22.2,0
22.6,0
22.2,0
21.7,0
20.8,0
19.8,0
18.8,0
17.4,0
15.9,0
14.6,0
13.8,0
13.7,0
12.9,0
14,0
14.5,0
14.4,0
14.7,0
14.6,0
14.4,0
14,0
14.5,0
16.2,0
17.9,0
19.6,0
21.3,0
22.2,0
22.5,0
22.8,0
22.7,0
21.4,0
19.2,0
17,0
15.2,0
14.2,0
14.4,0
13.9,0
13.8,0
13.2,0
11.6,0
11.2,0
10.9,0
10.9,0
9.9,0
10,0
11.3,0
14.5,0
17.6,0
19.6,0
20.8,0
21.8,0
21.6,0
22,0
21.2,0
20.2,0
18.3,0
15.5,0
14.3,0
15,0
15.2,0
14.6,0
13.3,0
11.9,0
11,0
10.5,0
9.7,0
10.2,0
9.6,0
9.4,0
10.6,0
15.1,0
17.6,0
18.9,0
20.3,0
20.6,0
21.5,0
19.9,0
20.3,0
19.8,0
18.8,0
17.4,0
16.5,0
15.9,0
15,0
13.6,0
11.2,0
10.2,0
10.1,0
11.6,0
10.6,0
9.8,0
9.2,0
9,0
10.7,0
13.9,0
16.4,0
18.4,0
18.5,0
19.4,0
19.3,0
19.7,0
18.6,0
18.4,0
17.2,0
15.8,0
14.8,0
14.3,0
14.1,0
13.1,0
11.2,0
10.1,0
9.5,0
9.7,0
9.3,0
8.7,0
8.8,0
8.4,0
9.8,0
13.4,0
16.1,0
17.8,0
19.8,0
20.2,0
19.9,0
20.4,0
19.2,0
17.9,0
16.5,0
14.5,0
13.1,0
12.3,0
11.5,0
10.7,0
10.1,0
9.8,0
9.4,0
9.6,0
9.2,0
8.3,0
7.1,0
7,0
8.4,0
12.1,0
16.4,0
18.8,0
19.7,0
19.9,0
19.7,0
19.4,0
19.1,0
18.8,0
16.9,0
14.8,0
13,0
12.3,0
13,0
13.5,0
13.1,0
12.6,0
11.3,0
10.6,0
10.6,0
10.4,0
10.4,0
10,0
11.2,0
13.7,0
16.3,0
18.2,0
19.9,0
19.3,0
19,0
19.4,0
19.2,0
18.1,0
17.6,0
16.6,0
15.2,0
14.4,0
13.9,0
13.7,0
13.7,0
13.6,0
12.9,0
12.2,0
11.7,0
10.9,0
11.3,0
12,0
11.6,0
12.8,0
13.4,0
14.4,0
15.5,0
16.8,0
17.9,0
17,0
15.5,0
16.2,0
12.5,0
11.5,0
10.8,0
10.2,0
9.8,0
9.5,0
8.6,0
8.1,0
7.7,0
7.8,1.000729377
8.5,1.000729377
7.6,1.000729377
6.2,1.000729377
5.8,1.000729377
7.8,1.000729377
11.9,1.000729377
14.7,1.000729377
16.3,1.000729377
17.7,1.000729377
18.6,1.000729377
19.2,1.000729377
19.1,1.000729377
18.5,1.000729377
18.3,1.000729377
15.8,1.000729377
13,1.000729377
11,1.000729377
9.8,1.000729377
9.8,1.000729377
10.5,1.000729377
10.5,1.000729377
10.7,1.000729377
10.6,1.000729377
10.2,1.000729377
10.2,1.000729377
9.9,1.000729377
9.1,1.000729377
8.4,1.000729377
9.1,1.000729377
13.4,1.000729377
16.6,1.000729377
17.9,1.000729377
18.8,1.000729377
19.7,1.000729377
19.4,1.000729377
19.1,1.000729377
18.7,1.000729377
17.8,1.000729377
15.8,1.000729377
13.6,1.000729377
11.7,1.000729377
10.8,1.000729377
10.6,1.000729377
10.1,1.000729377
9.5,1.000729377
9.2,1.000729377
8.9,1.000729377
8.3,1.000729377
8,1.000729377
7.6,1.000729377
7.5,1.000729377
8.4,1.000729377
9.6,1.999002692
12.7,1.999002692
15.6,1.999002692
17.5,1.999002692
18.6,1.999002692
19.2,1.999002692
18.8,1.999002692
18.9,1.999002692
18.4,1.999002692
18.1,1.999002692
17.9,1.999002692
17.5,1.999002692
17.6,1.999002692
17.4,1.999002692
17.1,1.999002692
17.4,1.999002692
17.4,1.999002692
17.8,1.999002692
18,1.999002692
18,1.999002692
17.2,1.999002692
16.4,1.999002692
15.5,1.999002692
14.6,1.999002692
14.6,1.999002692
16.4,1.999002692
17.6,1.999002692
17.8,1.999002692
18.9,1.999002692
19.8,1.999002692
19.4,1.999002692
19.7,1.999002692
19.1,1.999002692
17.6,1.999002692
15.7,1.999002692
15.4,1.999002692
14.3,1.999002692
13.7,1.999002692
12.8,1.999002692
13.2,1.999002692
13.5,1.999002692
13.7,1.999002692
13.5,1.999002692
13.6,1.999002692
13.5,1.999002692
13.4,1.999002692
13,1.999002692
12.7,1.999002692
12.4,1.999002692
12.6,1.999002692
13.8,1.999002692
14.7,1.999002692
15.5,1.999002692
14.1,1.999002692
15.5,1.999002692
15,1.999002692
15,1.999002692
14.4,1.999002692
12.8,1.999002692
11.4,1.999002692
10.6,1.999002692
10.1,1.999002692
9.9,1.999002692
8.5,1.999002692
7.6,1.999002692
6.9,1.999002692
7.5,3.015012343
7.9,3.015012343
9,3.015012343
9.6,3.015012343
9.2,3.015012343
9.7,3.015012343
10,3.015012343
12.1,3.015012343
13.8,3.015012343
14.6,3.015012343
15.4,3.015012343
16,3.015012343
15.9,3.015012343
15.9,3.015012343
15.1,3.015012343
15.1,3.015012343
13.4,3.015012343
12.5,3.015012343
12,3.015012343
11.8,3.015012343
11.9,3.015012343
11.5,3.015012343
11,3.015012343
11.2,3.015012343
11.3,3.015012343
11.8,3.015012343
11.9,3.015012343
11.7,3.015012343
11.6,3.015012343
11.5,3.015012343
11.8,3.015012343
13.8,3.015012343
15.6,3.015012343
16.3,3.015012343
17.4,3.015012343
18.9,3.015012343
19.5,3.015012343
18.6,3.015012343
17.6,3.015012343
17.1,3.015012343
15.8,3.015012343
14.4,3.015012343
14,3.015012343
13.9,3.015012343
13.3,3.015012343
12.5,3.015012343
12.8,3.015012343
12.9,3.015012343
12.3,3.015012343
11.6,3.015012343
12.3,3.015012343
13.3,3.015012343
13.8,3.015012343
14.5,3.015012343
14.7,3.015012343
16.3,3.015012343
16.7,3.015012343
18,3.015012343
20.2,3.015012343
21.1,3.015012343
19.6,3.015012343
17.4,3.015012343
17,3.015012343
17.5,3.015012343
17.3,3.015012343
17.1,3.015012343
17.1,3.015012343
16.9,3.015012343
16.9,3.015012343
17.3,3.015012343
17.6,3.015012343
17.8,3.015012343
17.5,3.015012343
17.5,3.015012343
17.1,3.015012343
16.9,3.015012343
16.8,3.015012343
17,3.015012343
17.1,3.015012343
16.8,3.015012343
17.5,3.015012343
19,3.015012343
19.4,3.015012343
20.5,3.015012343
20.5,3.015012343
