Temp(C),Temp (K),ftmprt,sr,xi,xs,ak1,Inter-S,Inter-E,delt,Portions
13.4,286.4,14.54636872,2076862.117,0.999999519,0.957815093,0.073275885,0,0.067674997,0,0
12.9,285.9,13.79671214,981377.1675,0.999998981,1.010293018,0.067729906,0.067674997,0.129404369,0,0
13,286,13.94685315,1140358.389,0.999999123,0.999557395,0.068805975,0.129404369,0.18726277,0,0
13.5,286.5,14.69598604,2412046.315,0.999999585,0.947672425,0.074435974,0.18726277,0.241809308,0,0
13.3,286.3,14.39664687,1788069.088,0.999999441,0.968073514,0.072133084,0.241809308,0.292352165,0,0
13.7,286.7,14.99490757,3252412.442,0.999999693,0.927728835,0.076809016,0.292352165,0.339327659,0,0
13.7,286.7,14.99490757,3252412.442,0.999999693,0.927728835,0.076809016,0.339327659,0.382830099,0,0
14.8,287.8,16.63154969,16710531.16,0.99999994,0.825745096,0.091208415,0.382830099,0.421440131,0,0
17.4,290.4,20.45068871,761414697.7,0.999999999,0.629256991,0.136197324,0.421440131,0.447901365,0,0
19.6,292.6,23.62925496,18283319083,1,0.501885783,0.190149558,0.447901365,0.457249552,0,0
21.5,294.5,26.33616299,2.73937E+11,1,0.413958483,0.252648549,0.457249552,0.447584423,0,0
22.2,295.2,27.32466125,7.36122E+11,1,0.385842882,0.280276956,0.447584423,0.432493213,0,0
22.6,295.6,27.88741543,1.29226E+12,1,0.370698153,0.297335094,0.432493213,0.416599219,0,0
22.2,295.2,27.32466125,7.36122E+11,1,0.385842882,0.280276956,0.416599219,0.409081584,0,0
21.7,294.7,26.61907024,3.63509E+11,1,0.405708836,0.260265118,0.409081584,0.408308709,0,0
20.8,293.8,25.34295439,1.01462E+11,1,0.444271688,0.227631026,0.408308709,0.415630122,0,0
19.8,292.8,23.91584699,24351200681,1,0.491754912,0.195957769,0.415630122,0.429176761,0,0
18.8,291.8,22.47895819,5787453319,1,0.544692053,0.16851848,0.429176761,0.447091375,0,0
17.4,290.4,20.45068871,761414697.7,0.999999999,0.629256991,0.136197324,0.447091375,0.470286447,0,0
15.9,288.9,18.25572863,84793430.38,0.999999988,0.73562433,0.108165648,0.470286447,0.497489174,0,0
14.6,287.6,16.3349096,12421129.8,0.999999919,0.843359403,0.088411672,0.497489174,0.526755342,0,0
13.8,286.8,15.14421199,3776136.649,0.999999735,0.917925199,0.078022478,0.526755342,0.556115129,0,0
13.7,286.7,14.99490757,3252412.442,0.999999693,0.927728835,0.076809016,0.556115129,0.583589757,0,0
12.9,285.9,13.79671214,981377.1675,0.999998981,1.010293018,0.067729906,0.583589757,0.611533339,0,0
14,287,15.44250871,5088576.639,0.999999803,0.898647585,0.080504578,0.611533339,0.633741431,0,0
14.5,287.5,16.18643478,10707283.65,0.999999907,0.852316347,0.087044211,0.633741431,0.651962586,0,0
14.4,287.4,16.03785665,9228957.432,0.999999892,0.861374752,0.085696971,0.651962586,0.669161119,0,0
14.7,287.7,16.4832812,14407813.13,0.999999931,0.834502715,0.089799642,0.669161119,0.683361595,0,0
14.6,287.6,16.3349096,12421129.8,0.999999919,0.843359403,0.088411672,0.683361595,0.696899975,0,0
14.4,287.4,16.03785665,9228957.432,0.999999892,0.861374752,0.085696971,0.696899975,0.710407905,0,0
14,287,15.44250871,5088576.639,0.999999803,0.898647585,0.080504578,0.710407905,0.724968117,0,0
14.5,287.5,16.18643478,10707283.65,0.999999907,0.852316347,0.087044211,0.724968117,0.735584302,0,0
16.2,289.2,18.69654219,131766527.8,0.999999992,0.71290915,0.113289133,0.735584302,0.733155622,0,0
17.9,290.9,21.17731179,1574670358,0.999999999,0.597549858,0.14699378,0.733155622,0.714618226,0,0
19.6,292.6,23.62925496,18283319083,1,0.501885783,0.190149558,0.714618226,0.677780511,0,0
21.3,294.3,26.05287122,2.06357E+11,1,0.422387433,0.245244975,0.677780511,0.62223579,0,0
22.2,295.2,27.32466125,7.36122E+11,1,0.385842882,0.280276956,0.62223579,0.564455324,0,0
22.5,295.5,27.74686971,1.12283E+12,1,0.374423868,0.29298001,0.564455324,0.516194376,0,0
22.8,295.8,28.16822177,1.71121E+12,1,0.363364942,0.306231272,0.516194376,0.475880467,0,0
22.7,295.7,28.02786608,1.48713E+12,1,0.367011993,0.301751905,0.475880467,0.447522572,0,0
21.4,294.4,26.19456522,2.37769E+11,1,0.418150288,0.248920496,0.447522572,0.441050153,0,0
19.2,292.2,23.05489391,10294688384,1,0.522821737,0.17902238,0.441050153,0.454453563,0,0
17,290,19.86758621,424994254,0.999999998,0.655914025,0.128109699,0.454453563,0.478677801,0,0
15.2,288.2,17.22359473,30207316.64,0.999999967,0.791682044,0.097057523,0.478677801,0.507629503,0,0
14.2,287.2,15.74038997,6854322.082,0.999999854,0.879800833,0.083062018,0.507629503,0.537293765,0,0
14.4,287.4,16.03785665,9228957.432,0.999999892,0.861374752,0.085696971,0.537293765,0.563909781,0,0
13.9,286.9,15.29341234,4383737.981,0.999999772,0.908231887,0.079254244,0.563909781,0.590145396,0,0
13.8,286.8,15.14421199,3776136.649,0.999999735,0.917925199,0.078022478,0.590145396,0.614747356,0,0
13.2,286.2,14.24682041,1539272.416,0.99999935,0.978449089,0.071007327,0.614747356,0.639677267,0,0
11.6,284.6,11.83527758,138037.0743,0.999992756,1.161606538,0.055125032,0.639677267,0.667669996,0,0
11.2,284.2,11.22814919,75218.25181,0.999986706,1.212887046,0.05172099,0.667669996,0.695152329,0,0
10.9,283.9,10.77168017,47652.01373,0.999979015,1.252927768,0.049300818,0.695152329,0.721984262,0,0
10.9,283.9,10.77168017,47652.01373,0.999979015,1.252927768,0.049300818,0.721984262,0.747525437,0,0
9.9,282.9,9.243124779,10333.27737,0.999903235,1.396886181,0.04199133,0.747525437,0.774228389,0,0
10,283,9.396466431,12045.74098,0.99991699,1.381727816,0.04267281,0.774228389,0.799606763,0,0
11.3,284.3,11.38009145,87561.04206,0.99998858,1.19984482,0.052552652,0.799606763,0.820097205,0,0
14.5,287.5,16.18643478,10707283.65,0.999999907,0.852316347,0.087044211,0.820097205,0.822783103,0,0
17.6,290.6,20.74163799,1018541960,0.999999999,0.616363931,0.140421759,0.822783103,0.795740469,0,0
19.6,292.6,23.62925496,18283319083,1,0.501885783,0.190149558,0.795740469,0.744855259,0,0
20.8,293.8,25.34295439,1.01462E+11,1,0.444271688,0.227631026,0.744855259,0.683661873,0,0
21.8,294.8,26.76037992,4.18683E+11,1,0.401649985,0.264155089,0.683661873,0.618194067,0,0
21.6,294.6,26.47766463,3.15576E+11,1,0.409811501,0.256429849,0.618194067,0.571059863,0,0
22,295,27.04271186,5.55265E+11,1,0.393661745,0.272102109,0.571059863,0.528799458,0,0
21.2,294.2,25.9110809,1.79077E+11,1,0.426670437,0.241621284,0.528799458,0.506877826,0,0
20.2,293.2,24.48785812,43146110757,1,0.472141941,0.208086228,0.506877826,0.500352238,0,0
